action_plays,espn_game_id,espn_player_id,first_name,home_away,last_name,opponent,opposition_score,pass_EPA,penalty_EPA,qb_score,raw_QBR,run_EPA,sack_EPA,team_name,total_EPA,total_QBR,week,won_lost,year
30,333410002.0,550021,Nick,home,Marshall,MIZ,42,3.2,-0.4,59,87.1,5.3,-1.3,AUB,6.9,94.6,15,W,2013
41,333062641.0,481725,Clint,away,Chelf,TTU,34,4.2,-0.1,52,91.3,6.0,0.0,OKST,10.1,94.6,10,W,2013
21,333200150.0,501052,Brandon,home,Connette,MIAMI,30,2.2,-0.2,48,93.4,4.3,0.0,DUKE,6.3,94.5,12,W,2013
50,333650245.0,501046,Anthony,away,Boone,TA&M,52,11.7,0.0,48,92.5,2.6,-0.6,DUKE,13.7,94.5,bowl,L,2013
31,332920068.0,504908,Grant,home,Hedrick,NEV,17,3.8,-0.1,34,97.6,9.1,-0.9,BSU,11.9,94.5,8,W,2013
44,333252116.0,505719,Blake,home,Bortles,RUTG,17,7.5,0.1,41,96.3,3.7,-1.0,UCF,10.3,94.5,13,W,2013
27,333200052.0,530308,Jameis,home,Winston,SYR,3,5.0,0.1,59,93.3,-0.2,-0.6,FSU,4.3,94.5,12,W,2013
35,332830030.0,513329,Cody,home,Kessler,ARIZ,31,5.3,-0.2,38,91.4,1.3,0.0,USC,6.4,94.5,7,W,2013
49,332570201.0,501882,Blake,home,Bell,TLSA,20,9.7,0.1,51,94.8,0.3,-0.5,OKLA,9.6,94.4,3,W,2013
24,332552032.0,531708,Deon,away,Anthony,ARKST,41,4.2,0.1,34,94.3,3.3,0.0,TROY,7.6,94.4,3,L,2013
41,333340275.0,552329,Christian,away,Hackenberg,WIS,24,10.0,-0.9,31,87.1,-0.1,0.0,PSU,9.1,94.3,14,W,2013
28,332432483.0,511459,Marcus,home,Mariota,NICH,3,2.4,-0.1,66,97.9,3.8,0.0,ORE,6.1,94.3,1,W,2013
57,332410254.0,512806,Chuckie,away,Keeton,UTAH,30,11.3,0.2,26,90.2,5.2,-2.2,USU,14.5,94.2,1,L,2013
